competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991
sugar babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755
sugar daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995
super bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865
swedish fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111
tootsie pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651
tootsie roll juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897
tootsie roll midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748
tootsie roll snack bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503
trolli sour bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229
twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914
twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282
warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898
welchs fruit snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519
werthers original caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308
whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113
